zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 20:54:30
Casa/Salon,1,2024-01-22 20:54:35
Casa/Salon,1,2024-01-22 20:54:40
Casa/Salon,1,2024-01-22 20:54:45
Casa/Salon,1,2024-01-22 20:54:50
Casa/Salon,1,2024-01-22 20:55:00
Casa/Salon,1,2024-01-22 20:55:15
Casa/Salon,1,2024-01-22 20:55:25
Casa/Salon,1,2024-01-22 20:55:30
Casa/Salon,1,2024-01-22 20:55:40
Casa/Salon,1,2024-01-22 20:55:45
Casa/Salon,1,2024-01-22 20:55:50
Casa/Salon,1,2024-01-22 20:55:55
Casa/Salon,1,2024-01-22 20:56:00
Casa/Salon,1,2024-01-22 20:56:05
Casa/Salon,1,2024-01-22 20:56:10
Casa/Salon,1,2024-01-22 20:56:15
Casa/Salon,1,2024-01-22 20:56:20
Casa/Salon,1,2024-01-22 20:56:25
Casa/Salon,1,2024-01-22 20:56:30
Casa/Salon,1,2024-01-22 20:56:35
Casa/Salon,1,2024-01-22 20:56:40
Casa/Salon,1,2024-01-22 20:56:45
Casa/Salon,1,2024-01-22 20:56:50
Casa/Salon,1,2024-01-22 20:56:55
Casa/Salon,1,2024-01-22 20:57:00
Casa/Salon,1,2024-01-22 20:57:05
Casa/Salon,1,2024-01-22 20:57:10
Casa/Salon,1,2024-01-22 20:57:25
Casa/Salon,1,2024-01-22 20:57:30
Casa/Salon,1,2024-01-22 20:57:50
Casa/Salon,1,2024-01-22 20:58:00
Casa/Salon,1,2024-01-22 20:58:10
Casa/Salon,1,2024-01-22 20:58:15
Casa/Salon,1,2024-01-22 20:58:20
Casa/Salon,1,2024-01-22 20:58:25
Casa/Salon,1,2024-01-22 20:58:30
Casa/Salon,1,2024-01-22 20:58:45
Casa/Salon,1,2024-01-22 20:58:50
Casa/Salon,1,2024-01-22 20:59:00
Casa/Salon,1,2024-01-22 20:59:05
Casa/Salon,1,2024-01-22 20:59:10
Casa/Salon,1,2024-01-22 20:59:15
Casa/Salon,1,2024-01-22 20:59:25
Casa/Salon,1,2024-01-22 20:59:30
Casa/Salon,1,2024-01-22 20:59:40
Casa/Salon,1,2024-01-22 20:59:55
Casa/Salon,1,2024-01-22 21:00:00
Casa/Salon,1,2024-01-22 21:00:05
Casa/Salon,1,2024-01-22 21:00:15
Casa/Salon,1,2024-01-22 21:00:25
